t,x,y,z
0.079008,709.972046,2092.27002,401.328003
0.089042,706.417969,2051.429932,382.899994
0.099062,700.936035,1993.370117,373.744019
0.109015,695.437012,1936.869995,362.567993
0.119084,684.162964,1931.220093,333.611023
0.129011,682.565002,1828.559937,336.309998
0.139023,677.267029,1775.679932,323.698029
0.177983,654.227966,1555.849976,254.541992
0.188001,648.921021,1511.559937,229.862
0.21801,629.993958,1358.849976,166.194
0.228012,625.232971,1293.140015,151.893997
0.238052,614.460999,1267.070068,115.422005
0.258027,604.987,1143.470093,78.192596
0.26801,598.171021,1097.170044,47.607399
0.278062,589.639038,1061.01001,17.352699
0.288017,585.966003,1013.440002,47.8442
0.367039,544.008972,758.283997,212.552002
0.387078,531.169983,698.692017,242.716995
0.397033,526.480042,661.436951,256.497009
0.427037,510.085999,561.734009,296.440002
0.437078,507.089966,528.255005,305.39502
0.446026,504.199036,470.205994,328.119995
0.476023,486.315002,390.18399,341.096008
0.486018,480.660004,359.273987,344.858002
0.506036,467.756012,306.427979,347.375
0.516027,464.490997,263.390991,353.868011
0.526104,457.740021,234.702011,354.294006
0.556031,444.662018,140.039001,350.16098
0.566069,438.600983,106.394997,350.947998
0.605047,416.915009,-7.74013,320.283997
0.615036,410.141998,-32.977901,311.018005
0.645022,391.988007,-111.378998,272.792023
,,,
0,795.669006,2276.040039,483.619019
0.009982,797.46698,2210.25,480.424988
0.019994,798.653992,2130.359863,476.537994
0.030004,803.737976,2052.439941,472.917999
0.040013,803.348022,1994.310059,465.122986
0.050008,806.250977,1922.359985,457.015015
0.060076,809.117004,1853.539917,446.729004
0.070015,809.345032,1770.23999,443.070007
0.080005,811.990051,1705.690063,431.207001
0.090068,814.601013,1644.22998,417.156982
0.099994,815.868042,1598.27002,399.473999
0.108958,816.969971,1554.550049,375.644012
0.128999,819.53595,1391.23999,355.062988
0.148985,819.424988,1264.089966,321.76001
0.158998,823.357971,1181.069946,307.503021
0.169,822.119995,1135.180054,281.607971
0.178996,822.417969,1089.98999,254.299011
0.189065,826.282959,1014.250061,237.291
0.198992,826.031982,961.718018,210.837006
0.209027,824.59198,920.692017,178.764999
0.219074,826.653992,821.302002,173.565002
0.229023,825.21405,783.021973,138.671997
0.258016,826.519043,602.890015,57.600498
0.267997,825.140991,542.830994,31.281698
0.288029,822.969971,477.259003,66.034897
